,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
RMR,-1q,150396000,165719000,,309509000,276360000,,,8356000,36822000,2206000,22459000,59281000,2018-03-31,,223264000,524961000.0,276360000,,,59281000
RMR,-2q,17326000,40458000,28918000.0,309927000,125966000,,189623000.0,71120000,7086000,838000,182537000,218541000,2017-12-31,,217176000,529787000.0,125966000,,312611000.0,218541000
RMR,-3q,-29071000,3005000,27203000.0,140893000,108640000,,29433000.0,5043000,4151000,994000,25282000,56636000,2017-09-30,,149531000,383719000.0,108640000,,234188000.0,56636000
RMR,-4q,4654000,21790000,24769000.0,173045000,137711000,,30733000.0,6857000,9006000,212000,21727000,55502000,2017-06-30,,147900000,403988000.0,137711000,,256088000.0,55502000
RMTI,-1q,-5126384,-4604561,14919072,44245771,3278087,,29507,-6529521,6728311,5975,-6698804,14948579,2018-03-31,1666356,27367150,51956679.0,28099769,,,14948579
RMTI,-2q,4517644,-4811711,16062936,48828318,8406917,,-1224920,-9039283,7996276,94205,-9221196,14838016,2017-12-31,2126397,32913148,58779640.0,33055376,,,14838016
RMTI,-3q,-4439868,-4048624,13555853,61187891,3887923,,1071051,-5056994,6096294,336626,-5025243,14626904,2017-09-30,1304658,40790360,65806400.0,38916764,,,14626904
RMTI,-4q,-3571243,-7102814,11744819,63804330,8327695,,1498288,-7082984,8216673,368803,-6718385,13243107,2017-06-30,1675494,43845983,69475615.0,43242026,,,13243107
RNDB,-1q,142000,1690000,,,8964000,,,-707000,,-1596000.0,,,2018-03-31,,79871000,533536000.0,,,,6390000
RNDB,-2q,667000,857000,,,8822000,,,-1578000,,,,,2017-12-31,,81483000,531892000.0,,,450409000.0,6388000
RNDB,-3q,-688000,7700000,,,8155000,,,49000,,,,,2017-09-30,,83240000,505512000.0,,,422272000.0,7387000
RNDB,-4q,427000,-11946000,,,8843000,,,-150000,,,,,2017-06-30,,83339000,507939000.0,,,,7124000
RNET,-1q,-12963000,-2492000,33681000,85870000,23449000,4945000,20152000,-5556000,24622000,-53000.0,-4470000,53833000,2018-03-31,,111722000,245259000.0,21858000,56879000,,53833000
RNET,-2q,1672000,8340000,35868000,91646000,34598000,4941000,20946000,-5669000,23478000,,-2532000,56814000,2017-12-31,,107199000,230094000.0,34598000,58114000,122895000.0,56814000
RNET,-3q,-9546000,11605000,32385000,90675000,32900000,8545000,18459000,-4232000,21410000,5000.0,-2951000,50844000,2017-09-30,,112336000,237848000.0,32900000,60000000,125512000.0,50844000
RNET,-4q,-13895000,477000,33038000,102447000,42699000,8546000,16124000,-4249000,19562000,13000.0,-3438000,49162000,2017-06-30,,113823000,222705000.0,42699000,47116000,,49162000
RNG,-1q,373590000,12185000,35674000,651109000,554963000,1252000.0,114669000,-2716000,116020000,4251000,-1351000,136960000,2018-03-31,22651000,275866000,775478000.0,554963000,356517000.0,,150343000
RNG,-2q,8934000,10289000,33620000,248043000,181192000,,106915000,-6089000,113100000,34000,-6185000,129662000,2017-12-31,20362000,172202000,305168000.0,181192000,,,140535000
RNG,-3q,5637000,13424000,30784000,234222000,172306000,,98980000,-5712000,105226000,-237000,-6246000,119401000,2017-09-30,19082000,161944000,289440000.0,172306000,,,129764000
RNG,-4q,17638000,8742000,29561000,218215000,167015000,,89875000,-7031000,97418000,-3016000,-7543000,110413000,2017-06-30,18617000,153722000,268617000.0,167015000,,,119436000
RNGR,-1q,-4200000,-1100000,51300000,51900000,1100000,8300000,11300000,-5700000,13100000,700000.0,-1800000,62600000,2018-03-31,,97800000,262500000.0,1100000,25100000,,62600000
RNGR,-2q,-15400000,-9700000,43100000,49700000,5300000,9300000,7100000,-3100000,12500000,,-5400000,50200000,2017-12-31,,103700000,259700000.0,5300000,16600000,,50200000
RNGR,-3q,18300000,1000000,33900000,56000000,20700000,8800000,7200000,-3500000,12000000,,-4800000,41100000,2017-09-30,,109900000,257000000.0,20700000,16000000,,41100000
RNGR,-4q,400000,-1800000,26200000,31600000,2400000,35500000,7500000,-6000000,12400000,,-4900000,33700000,2017-06-30,,105200000,165300000.0,2400000,36200000,,33700000
RNN,-1q,-2600858,-5598338,,22414105,6298296,,,-2074873,5885855,-3366496.0,-5885855,,2018-03-31,4058533,14969960,22554270.0,21182840,,,
RNN,-2q,672965,-3704936,,28135636,8899154,,,-3592463,4898229,,-4898229,,2017-12-31,3263640,16768596,28287881.0,26831095,,,
RNN,-3q,-564330,-3447140,,24481139,8226189,,,-1038072,4219322,,-4219322,,2017-09-30,2644999,15120805,24590980.0,23203535,,,
RNN,-4q,-1695660,-4099244,,27976320,8790519,,,947056,4283925,,-4283925,,2017-06-30,2544262,15901073,28093715.0,26776679,,,
RNR,-1q,-715162000,-37349000,,,647973000,,,62308000,,81830000,,,2018-03-31,,4436253000,15922202000.0,,,,417129000
RNR,-2q,781390000,424085000,,,1361592000,,,2143000,,-5548000,,,2017-12-31,,4391375000,15226131000.0,,,,489093000
RNR,-3q,-45693000,280679000,,,581576000,,,-499217000,,-42797000,,,2017-09-30,,4403012000,15044924000.0,,,,632941000
RNR,-4q,165188000,139984000,,,623150000,,,176738000,,-42627000,,,2017-06-30,,4955255000,13705680000.0,,,,500042000
RNST,-1q,-30475000,-61171000,,,250978000,57753000,,33826000,,-8790000,,,2018-03-31,,1532765000,10238313000.0,,265191000,,123113000
RNST,-2q,-50747000,149164000,,,281453000,83000000,,16511000,,-4035000,,,2017-12-31,,1514983000,9829981000.0,,290546000,,125642000
RNST,-3q,96139000,44704000,,,332200000,384230000,,26421000,,-4161000,,,2017-09-30,,1511826000,10323687000.0,,591933000,,123817000
RNST,-4q,-134683000,-47441000,,,236061000,120121000,,25284000,,-5020000,,,2017-06-30,,1271786000,8872272000.0,,312077000,,113741000
RNWK,-1q,-1742000,-5425000,5136000,78437000,52185000,,14514000,-5178000,18967000,21000.0,-4453000,19650000,2018-03-31,7694000,76342000,105774000.0,54333000,,,19650000
RNWK,-2q,5294000,-3807000,-27953000,94261000,51196000,,12982000,839000,18402000,-1606000.0,-5420000,-14971000,2017-12-31,7625000,79173000,121496000.0,59975000,,,-14971000
RNWK,-3q,7570000,-3597000,16534000,90796000,45597000,,13468000,-4334000,17116000,,-3648000,30002000,2017-09-30,7152000,77183000,114784000.0,59079000,,,30002000
RNWK,-4q,-1502000,-4536000,17290000,95151000,37855000,,15822000,-3386000,18334000,820000.0,-2512000,33112000,2017-06-30,7584000,80353000,119919000.0,62474000,,,33112000
ROAD,-1q,-4422000,8634000,105150000,144251000.0,25797000,10000000.0,13749000,11248000,-1445000,-1116000,15194000,118899000,2018-03-31,,175034000.0,319822000.0,25797000.0,47175000.0,,118899000
ROAD,-2q,2672000,19490000,127623000,157311000.0,30219000,10000000.0,22798000,10996000,12426000,-145000,10372000,150421000,2017-12-31,,163177000.0,315925000.0,30219000.0,49655000.0,,150421000
ROAD,-3q,-36998000,627000,96005000,,22766000,,14361000,2800000,10965000,-2183000,3396000,110366000,2017-03-31,,,,,,,110366000
ROAD,-4q,8679000,18767000,103391000,,59764000,,18729000,4561000,10563000,-254000,8166000,122120000,2016-12-31,,,,,,,122120000
ROCK,-1q,-21040000,-22206000,167019000,442871000,200741000,400000,48318000,8352000,34475000,-7000,13843000,215337000,2018-03-31,,541955000,967143000.0,200741000,210217000,,215337000
ROCK,-2q,14288000,21239000,201383000,462764000,222280000,400000,56729000,25176000,33935000,16000,22794000,258112000,2017-12-31,,531719000,991385000.0,222280000,210021000,,258112000
ROCK,-3q,24813000,27111000,205839000,468101000,208032000,400000,68735000,20619000,33042000,-100000,35693000,274574000,2017-09-30,,505431000,996297000.0,208032000,209825000,,274574000
ROCK,-4q,20923000,19377000,185802000,415666000,182379000,400000,61825000,12769000,36895000,-51000,24930000,247627000,2017-06-30,,481903000,947458000.0,182379000,209629000,,247627000
ROG,-1q,-8895000,8768000,138005000,475785000,173019000,6286000,76606000,26136000,45140000,404000,31466000,214611000,2018-03-31,8134000,799023000,1146127000.0,173019000,143121000,,214611000
ROG,-2q,30151000,39131000,133517000,454523000,181159000,6261000,75491000,6999000,55700000,824000,19791000,209008000,2017-12-31,8035000,766573000,1125134000.0,181159000,143116000,,209008000
ROG,-3q,-28154000,35362000,124595000,425920000,150993000,399000,82188000,25532000,46026000,-5812000,36162000,206783000,2017-09-30,7411000,751104000,1081618000.0,150993000,136864000,,206783000
ROG,-4q,-11797000,41255000,120878000,441441000,177312000,383000,80546000,20896000,46708000,-1391000,33838000,201424000,2017-06-30,7141000,718255000,1099141000.0,177312000,196778000,,201424000
ROIC,-1q,-1955000,44423000,18297000,60013000,15010000,,56098000,10702000,28817000,,27281000,71538000,2018-03-31,,1197721000,3049723000.0,13012000,,,74395000
ROIC,-2q,1480000,24961000,18383000,58163000,11553000,,54371000,10849000,28341000,,26030000,71404000,2017-12-31,,1203967000,3039198000.0,11553000,,,72754000
ROIC,-3q,-1335000,39526000,16788000,55993000,10073000,222080000.0,51178000,9149000,28143000,,23035000,67081000,2017-09-30,,1162283000,2860899000.0,10073000,1587866000.0,,67966000
ROIC,-4q,-8060000,24157000,17275000,54220000,11408000,220376000.0,49365000,8309000,27691000,,21674000,65750000,2017-06-30,,1170505000,2825708000.0,11408000,1552221000.0,,66640000
ROK,-1q,-159100000,381400000,950400000,3940900000,1433900000,308500000,700800000,227400000,383900000,16500000,316900000,1651200000,2018-03-31,,1947200000,6513600000.0,2047300000,1538300000,,1651200000
ROK,-2q,153100000,212700000,889500000,4533900000,1547000000,840000000,697100000,-236400000,379300000,16700000,317800000,1586600000,2017-12-31,,2156200000,7158700000.0,2647500000,2079300000,,1586600000
ROK,-3q,-158000000,106900000,1019800000,4420700000,1410900000,600400000,647700000,204600000,435100000,-228000000,212600000,1667500000,2017-09-30,,2663600000,7161700000.0,2535500000,1843800000,,1667500000
ROK,-4q,94100000,315300000,921500000,4456500000,1549400000,598400000,677700000,216900000,382600000,30800000,295100000,1599200000,2017-06-30,,2178000000,7215500000.0,2614600000,1842200000,,1599200000
ROKU,-1q,-16500000,-14637000,73464000,336811000,160750000,,63112000,-6634000,70014000,129000,-6902000,136576000,2018-03-31,34126000,193476000,360480000.0,160750000,,,136576000
ROKU,-2q,110332000,6100000,114800000,344917000,177250000,,73461000,6941000,63967000,2631000,9494000,188261000,2017-12-31,31295000,152279000,371897000.0,177250000,,219618000.0,188261000
ROKU,-3q,-3251000,979000,74887000,197511000,66918000,,49895000,-46235000,57787000,235000,-7892000,124782000,2017-09-30,28532000,-255973000,225502000.0,66918000,,,124782000
ROKU,-4q,25455000,3974000,61990000,164904000,70169000,,37637000,-15513000,51020000,-684000,-13383000,99627000,2017-06-30,25776000,-213350000,184996000.0,70169000,,,99627000
ROL,-1q,-16114000,72748000,206143000,240704000,84319000,,202599000,48525000,143403000,,59196000,408742000,2018-03-31,,662763000,1050696000.0,84319000,,,408742000
ROL,-2q,-10486000,45983000,207519000,262795000,107050000,,207194000,33735000,138630000,,68564000,414713000,2017-12-31,,653924000,1033663000.0,107050000,,,414713000
ROL,-3q,-83837000,69479000,218781000,282926000,113397000,,231661000,51430000,149245000,,82416000,450442000,2017-09-30,,650439000,1046527000.0,113396000,,,450442000
ROL,-4q,29267000,63137000,204480000,361626000,194837000,,229075000,53689000,143214000,,85861000,433555000,2017-06-30,,617462000,980526000.0,194837000,,,433555000
ROLL,-1q,9062000,37793000,110151000,483650000,54163000,19238000,69726000,26677000,24101000,242000.0,45625000,179877000,2018-03-31,,834552000,1142751000.0,54163000,173355000,,179877000
ROLL,-2q,-487000,28534000,102193000,470062000,43822000,17976000,64665000,23832000,31542000,,33123000,166858000,2017-12-31,,798544000,1129150000.0,43822000,197953000,,166858000
ROLL,-3q,-1470000,24153000,102506000,457859000,42885000,16727000,61811000,14823000,36533000,,25278000,164317000,2017-09-30,,769320000,1114646000.0,42885000,220228000,,164317000
ROLL,-4q,5352000,39809000,101988000,459065000,45463000,15485000,61909000,21809000,30109000,,31800000,163897000,2017-06-30,,751685000,1120604000.0,45463000,237865000,,163897000
ROP,-1q,-321400000,281700000,452000000,1502000000,366200000,801300000,750500000,211300000,450300000,,300200000,1202500000,2018-03-31,,7155500000,14074100000.0,366200000,4622000000,,1202500000
ROP,-2q,67660000,368749000,461471000,1759402000,671327000,800944000,765112000,443872000,418129000,,346983000,1226583000,2017-12-31,,6863564000,14316413000.0,671327000,5155555000,,1226583000
ROP,-3q,-82429000,315641000,433492000,1692056000,605616000,401534000,726420000,190273000,415673000,,310747000,1159912000,2017-09-30,,6458984000,14246673000.0,605616000,5334255000,,1159912000
ROP,-4q,-90142000,171892000,429021000,1701111000,663344000,401297000,705650000,179556000,411392000,,294258000,1134671000,2017-06-30,,6200486000,14213288000.0,663344000,5642400000,,1134671000
ROSE,-1q,-18131000,18872000,30406000,42026000,6551000,,25380000,6320000,10173000,18275000,15207000,55786000,2018-03-31,,110735000,557382000.0,6551000,,,55786000
ROSE,-2q,20026000,2232000,46062000,43543000,24682000,,-17287000,56000,-19560000,13178000,2273000,28775000,2017-12-31,,251478000,476982000.0,20677000,,,28775000
ROSE,-3q,-6402000,18644000,984000,12414000,4656000,,14311000,1478000,14593000,1903000,-282000,15295000,2017-09-30,,100783000,227805000.0,4656000,,207614000.0,15295000
ROSE,-4q,4342000,8125000,2143000,21838000,11058000,,12522000,915000,12856000,-1093000,-334000,14665000,2017-06-30,,99173000,179659000.0,11058000,,,14665000
ROSEU,-1q,-18131000,18872000,30406000,42026000,6551000,,25380000,6320000,10173000,18275000,15207000,55786000,2018-03-31,,110735000,557382000.0,6551000,,,55786000
ROSEU,-2q,20026000,2232000,46062000,43543000,24682000,,-17287000,56000,-19560000,13178000,2273000,28775000,2017-12-31,,251478000,476982000.0,20677000,,,28775000
ROSEU,-3q,-6402000,18644000,984000,12414000,4656000,,14311000,1478000,14593000,1903000,-282000,15295000,2017-09-30,,100783000,227805000.0,4656000,,207614000.0,15295000
ROSEU,-4q,4342000,8125000,2143000,21838000,11058000,,12522000,915000,12856000,-1093000,-334000,14665000,2017-06-30,,99173000,179659000.0,11058000,,,14665000
ROST,-1q,11866000,472050000,2522219000,3454079000,1365138000,84981000.0,1066400000,418252000,524423000,,541977000,3588619000,2018-04-30,,3130288000,6020836000.0,1302836000,397086000.0,,3588619000
ROST,-2q,146125000,515645000,2922582000,3151157000,1290294000,84973000.0,1145224000,450747000,553306000,,591918000,4067806000,2018-01-31,,3049308000,5722051000.0,1290806000,396967000.0,,4067806000
ROST,-3q,-6763000,367703000,2369148000,3235945000,1144169000,,959746000,274449000,517297000,,442449000,3328894000,2017-10-31,,2858519000,5766978000.0,1144687000,,,3328894000
ROST,-4q,-93370000,277069000,2420942000,3004417000,1150932000,,1010661000,316539000,498276000,,512385000,3431603000,2017-07-31,,2839884000,5514479000.0,1150932000,,,3431603000
ROX,-1q,-571453,-810041,14664310,51740786,376987,176148.0,9407147,-336434,7998483,32981,1408664,24071457,2018-03-31,,4421068,60333360.0,376987,38893625.0,,24071457
ROX,-2q,627083,-4804906,14401686,53193382,946367,750000.0,9677937,465580,8105731,-4398,1572206,24079623,2017-12-31,,4303353,61884920.0,946367,39365863.0,,24079623
ROX,-3q,-117973,997265,12350901,49327910,322529,,8543249,-1681,7384373,-48699,1158876,20894150,2017-09-30,,2385266,58110531.0,322529,,,20894150
ROX,-4q,-183506,-1023446,12273668,47314267,433234,22721.0,8578619,-946395,8524148,9412,54471,20852287,2017-06-30,,1775512,56016189.0,433234,35663647.0,,20852287
ROYT,-1q,,,267000,5000,,,3705000,3240000,465000,,3240000,3972000,2018-03-31,,212795000,212795000.0,5000,,,3972000
ROYT,-2q,,,29000,88000,,,1589000,1156000,433000,,1156000,1618000,2017-12-31,,217279000,217279000.0,88000,,,1618000
ROYT,-3q,,,58000,59000,,,1941000,1531000,410000,,1531000,1999000,2017-09-30,,219058000,219058000.0,59000,,,1999000
ROYT,-4q,,,1000,1000,,,1935000,1480000,455000,,1480000,1934000,2017-06-30,,221678000,221678000.0,1000,,,1934000
RP,-1q,48906000,70771000,76660000,340367000,214124000,16133000,124641000,10901000,106371000,942000,18270000,201301000,2018-03-31,29040000,522027000,1540348000.0,101646000,649522000,,201301000
RP,-2q,-39960000,31039000,73513000,308579000,69343000,14116000,114167000,-20865000,104354000,52000,9813000,187680000,2017-12-31,25890000,501875000,1516293000.0,69343000,648576000,,187680000
RP,-3q,-215345000,25824000,69348000,323655000,109334000,4600000,99710000,6834000,95472000,385000,4238000,169058000,2017-09-30,21885000,516690000,1258828000.0,109334000,397711000,742138000.0,169058000
RP,-4q,252251000,33481000,67544000,540151000,324591000,3833000,93762000,6213000,87895000,63000,5867000,161306000,2017-06-30,21290000,499571000,1221447000.0,324591000,395649000,,161306000
RPAI,-1q,-43604000,34165000,20255000,100426000,42731000,,104587000,41780000,78783000,-34519000,25804000,122545000,2018-03-31,,1894644000,3757721000.0,33533000,,,124842000
RPAI,-2q,27453000,65838000,-43113000,96863000,86335000,216000000.0,169701000,109924000,207712000,-107101000,-38011000,119197000,2017-12-31,,1885700000,3918264000.0,25185000,1962086000.0,,126588000
RPAI,-3q,1649000,55501000,41435000,102148000,29652000,187000000.0,89084000,35904000,59254000,-73082000,29830000,130519000,2017-09-30,,2048938000,4069093000.0,29652000,1717609000.0,,130519000
RPAI,-4q,-54826000,64998000,42491000,99591000,28003000,182000000.0,94848000,114763000,62695000,-116628000,32153000,137339000,2017-06-30,,2102477000,4264323000.0,28003000,1879234000.0,,137339000
RPD,-1q,48420000,7296000,16594000,188809000,100146000,,37921000,-16361000,54506000,147000,-16585000,54515000,2018-03-31,16722000,73922000,320470000.0,129276000,,,54515000
RPD,-2q,2545000,8202000,17200000,173278000,51562000,,40531000,-13004000,53916000,46000,-13385000,57731000,2017-12-31,14102000,24153000,284136000.0,90740000,,259983000.0,57731000
RPD,-3q,-4188000,5744000,14367000,141317000,49055000,,36154000,-10284000,49196000,-172000,-13042000,50521000,2017-09-30,13570000,31766000,251440000.0,83880000,,219674000.0,50521000
RPD,-4q,2186000,-3981000,13079000,140733000,53068000,,34364000,-11637000,46261000,-282000,-11897000,47443000,2017-06-30,11873000,34627000,241853000.0,84281000,,207226000.0,47443000
RPM,-1q,-9897000,25562000,663184000,2357344000,264386000,3767000,439493000,40227000,383120000,-1936000,56373000,1102677000,2018-02-28,,1633378000,5135925000.0,264386000,2183425000,,1102677000
RPM,-2q,37863000,141275000,764401000,2395056000,267857000,253688000,551015000,95463000,419421000,-2036000,131594000,1315416000,2017-11-30,,1606753000,5144671000.0,267857000,2136960000,,1315416000
RPM,-3q,-125647000,-26089000,773386000,2362948000,236191000,254061000,572008000,116416000,394677000,-2861000,177331000,1345394000,2017-08-31,,1559111000,5108916000.0,236191000,2122290000,,1345394000
RPM,-4q,135787000,212648000,829454000,2397436000,350497000,253645000,663392000,128052000,454509000,-2836000,208883000,1492846000,2017-05-31,,1436061000,5090449000.0,350497000,2090082000,,1492846000
RPT,-1q,2638000,27548000,17964000,40783000,15529000,,44754000,7286000,26999000,151000,17755000,61818000,2018-03-31,,857205000,2045245000.0,10315000,,,62718000
RPT,-2q,3300000,29067000,18200000,39036000,8081000,,46063000,20923000,29437000,-16769000,16626000,64263000,2017-12-31,,864322000,2030394000.0,8081000,,,64263000
RPT,-3q,-17000,36737000,18433000,35496000,4781000,,47498000,28933000,29082000,-24492000,18416000,65931000,2017-09-30,,860024000,2113051000.0,4781000,,1253027000.0,65931000
RPT,-4q,-20329000,26634000,7673000,62459000,4798000,,59389000,6105000,40437000,49000,18952000,67062000,2017-06-30,,852312000,2218543000.0,4798000,,,67062000
RPXC,-1q,20091000,33167000,42230000,272152000,160380000,,24891000,80000,24252000,-751000,639000,67121000,2018-03-31,,443193000,564233000.0,168247000,,,67121000
RPXC,-2q,-89879000,38165000,48987000,234645000,138710000,,32822000,-95694000,23745000,-248000,9077000,81809000,2017-12-31,,409755000,550830000.0,157165000,,,81809000
RPXC,-3q,38901000,40415000,52282000,319243000,228410000,8349000.0,33420000,6366000,22517000,-662000,10903000,85702000,2017-09-30,,506510000,731854000.0,267455000,89884000.0,225344000.0,85702000
RPXC,-4q,30553000,31654000,51142000,298145000,189270000,7724000.0,29292000,4192000,23124000,-878000,6168000,80434000,2017-06-30,,495719000,733636000.0,244541000,91659000.0,,80434000
RRC,-1q,79000,370572000,355989000,337947000,527000,,400619000,49238000,230683000,15298000,169936000,756608000,2018-03-31,,5834592000,11730168000.0,527000,,,756608000
RRC,-2q,-81000,215722000,309002000,429234000,448000,,345006000,221185000,243471000,-23970000,101535000,654008000,2017-12-31,,5774272000,11728841000.0,448000,,,654008000
RRC,-3q,9000,189204000,323066000,337250000,529000,,247592000,-127700000,212784000,89951000,34808000,570658000,2017-09-30,,5537480000,11637739000.0,529000,,,570658000
RRC,-4q,-25000,185466000,303334000,360614000,520000,,258582000,69550000,204826000,-110755000,53756000,561916000,2017-06-30,,5661891000,11621336000.0,520000,,,561916000
RRD,-1q,-46500000,-140300000,1413100000,2036300000,259400000,219100000,294700000,-9600000,261700000,-10100000,33000000,1707800000,2018-03-31,,-202800000,3680600000.0,235200000,2188500000,,1707800000
RRD,-2q,52000000,230500000,1560800000,2216900000,301500000,10800000,365000000,-52800000,254100000,-6100000,110900000,1925800000,2017-12-31,,-217600000,3904500000.0,273400000,2109700000,,1925800000
RRD,-3q,-2800000,39200000,1410500000,2218600000,225800000,17900000,324400000,-8000000,254700000,-2600000,69700000,1734900000,2017-09-30,,-176900000,3956700000.0,225800000,2250100000,4133600000.0,1734900000
RRD,-4q,-28000000,-46800000,1342900000,2062500000,224000000,19100000,303100000,76500000,260700000,-89000000,42400000,1646000000,2017-06-30,,-175100000,3831800000.0,226300000,2252500000,,1646000000
RRGB,-1q,6398000.0,57045000.0,296555000,80718000,23673000.0,,124964000,4380000,117945000,,7019000,414702000,2018-04-30,,392704000,874645000.0,23673000,,,421519000
RRGB,-2q,2886000.0,35043000.0,260186000,104804000,17714000.0,,82167000,8807000,68685000,,13482000,342353000,2017-12-31,,387435000,910615000.0,17714000,,,342353000
RRGB,-3q,-5832000.0,16839000.0,248561000,85101000,14984000.0,,55687000,2714000,51631000,,4056000,304248000,2017-09-30,,376765000,898235000.0,14984000,,,304248000
RRGB,-4q,,,250177000,85514000,,,65594000,6931000,54644000,,10950000,315771000,2017-06-30,,372277000,903176000.0,20179000,,,315771000
RRR,-1q,-52162000,106047000,187953000,286368000,182582000,34843000,233086000,51180000,121400000,-755000,111686000,398483000,2018-03-31,,426618000,3683887000.0,179192000,2616573000,,421039000
RRR,-2q,9038000,110154000,181652000,341562000,231465000,30094000,212369000,29509000,134318000,13165000,78051000,425657000,2017-12-31,,381825000,3619610000.0,231465000,2617822000,,394021000
RRR,-3q,97120000,76374000,183499000,590800000,222427000,277990000,216871000,11780000,143433000,207000,73438000,431549000,2017-09-30,,342007000,3927658000.0,222427000,2865236000,3585651000.0,400370000
RRR,-4q,5663000,7611000,185547000,245695000,125307000,71341000,217946000,-25920000,240349000,-617000,-22403000,432715000,2017-06-30,,335838000,3564068000.0,125307000,2499023000,,403493000
RRTS,-1q,-4933000,-10198000,400963000,409627000,20769000,10087000.0,169021000,-23643000,182451000,135000,-13430000,569984000,2018-03-31,,88538000,884490000.0,20769000,194737000.0,,569984000
RRTS,-2q,8636000,4419000,397181000,398386000,25702000,9950000.0,163178000,-23327000,185513000,571000,-22335000,560359000,2017-12-31,,110847000,876043000.0,25702000,199410000.0,,560359000
RRTS,-3q,-12600000,-10614000,358480000,376790000,17066000,7597000.0,162953000,-10053000,182705000,-28817000,-19752000,521433000,2017-09-30,,133597000,862511000.0,17066000,193077000.0,,521433000
RRTS,-4q,-9147000,-31733000,358432000,400105000,29666000,,172147000,-37863000,179640000,10162000,-7493000,530579000,2017-06-30,,143286000,944427000.0,29666000,,,530579000
RS,-1q,-9100000,13300000,1937200000,3437600000,145400000,101200000,819900000,169000000,573500000,-100000.0,246400000,2757100000,2018-03-31,,4750500000,8147900000.0,145400000,2048300000,,2757100000
RS,-2q,-18900000,200700000,1697800000,3051300000,154400000,92000000,678600000,301400000,541800000,-1100000.0,136800000,2376400000,2017-12-31,,4667100000,7751000000.0,154400000,1901400000,,2376400000
RS,-3q,21500000,183100000,1764600000,3169100000,170200000,79700000,685500000,97300000,524000000,-4500000.0,161500000,2450100000,2017-09-30,,4414900000,7846900000.0,170200000,1975700000,3432000000.0,2450100000
RS,-4q,11200000,35900000,1773100000,3144400000,146500000,78900000,702100000,103000000,530900000,,171200000,2475200000,2017-06-30,,4331100000,7831200000.0,146500000,2069000000,,2475200000
RSG,-1q,-44900000,581400000,1469800000,1354000000,134200000,707000000,957700000,237700000,524300000,-800000,433400000,2297000000,2018-03-31,,7911800000,21108700000.0,62600000,8206700000,,2427500000
RSG,-2q,19400000,529200000,1593000000,1436800000,83300000,706700000,967000000,664400000,541600000,14600000,425400000,1825400000,2017-12-31,,7958800000,21147000000.0,83300000,8187400000,,2560000000
RSG,-3q,27900000,502700000,1580100000,1396700000,63900000,705700000,981900000,223200000,527500000,-14000000,454400000,2562000000,2017-09-30,,7672000000,20948600000.0,63900000,7857700000,,2562000000
RSG,-4q,2100000,434400000,1557400000,1292800000,36000000,705400000,969300000,202900000,521200000,1800000,448100000,2526700000,2017-06-30,,7662900000,20761100000.0,36000000,7781100000,,2526700000
RSLS,-1q,-9321565,-9321565,828958,5322406,841643,,121040,-11233449,12734229,-1157.0,-12613189,941431,2018-03-31,2687535,65873798,78567900.0,841643,,,949998
RSLS,-2q,-13270089,-8859744,637880,13936716,10163208,,156154,-9617307,12087205,,-11931051,794034,2017-12-31,2188969,76366869,88704549.0,10163208,,,794034
RSLS,-3q,12235262,-5641652,214511,25605456,23433297,,145509,-9993676,5705179,,-5559670,360020,2017-09-30,1109641,51047430,55183354.0,23433297,,,360020
RSLS,-4q,-7483011,-5645154,54472,13261313,11198035,,38588,-6840177,6912862,,-6874274,93060,2017-06-30,1352075,38005347,42520093.0,11198035,,,93060
RSPP,-1q,-4174000,177809000,92629000,192312000,33928000,,183693000,89573000,46674000,-16296000,137019000,276322000,2018-03-31,,4410797000,6500120000.0,33928000,,,276322000
RSPP,-2q,-8372000,153485000,94000000,149323000,38102000,,155023000,140786000,46589000,40831000,108434000,249023000,2017-12-31,,4322358000,6270186000.0,38102000,,,249023000
RSPP,-3q,12699000,117041000,88186000,168790000,46474000,,113468000,21326000,45656000,19934000,67812000,201654000,2017-09-30,,4177184000,6236835000.0,46474000,,,201654000
RSPP,-4q,-20485000,120898000,81115000,129152000,33775000,,101985000,31090000,41385000,-13696000,60600000,183100000,2017-06-30,,4151547000,5859073000.0,33775000,,,183100000
RST,-1q,-4014000,-418000,9434000,69441000,39215000,472000,33374000,-6402000,39029000,245000,-5655000,42808000,2018-03-31,6306000,-1629000,178825000.0,39158000,2273000,,42808000
RST,-2q,2698000,6625000,8441000,90098000,42964000,450000,36348000,2366000,38817000,-122000,-2469000,44789000,2017-12-31,5604000,2423000,194755000.0,42964000,2300000,,44789000
RST,-3q,13619000,17305000,9448000,93504000,40147000,440000,36758000,-3231000,39070000,-4000,-2312000,46206000,2017-09-30,6381000,-1427000,196758000.0,40147000,2374000,,46206000
RST,-4q,-13232000,-10384000,7591000,77496000,26367000,422000,38314000,-1135000,38979000,-575000,-665000,45905000,2017-06-30,6348000,-59000,178902000.0,26367000,2397000,,45905000
RSYS,-1q,3256000,-4228000,19222000,50401000,11402000,14547000,6968000,-6445000,11218000,-1852000.0,-4250000,26190000,2018-03-31,3686000,343000,61641000.0,7402000,20911000.0,,26190000
